Name,Country,SSN,DOB,Income,Sex,Marital Status,Education,Loan,House Status,Blood Type,Blood Pressure,Heart Rate,Oxygen Level,Medical Procedure,Smoking,Alcohol Consumption,Allergies,Vaccinations,Tumor Condition,,,,,,,,,,,,,,,,,,,,
John Smith,USA,123-45-6789,7/15/1985,50000,Male,Married,Bachelor's Degree,Yes,Own,O+,120/80,72,98%,Appendectomy,No,No,Pollen,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Emily Johnson,Canada,987-65-4321,12/2/1990,60000,Female,Single,Master's Degree,No,Rent,A-,110/70,68,96%,Laser Eye Surgery,No,Yes,Shellfish,No,Normal,,,,,,,,,,,,,,,,,,,,
Michael Davis,UK,456-78-9123,3/20/1978,75000,Male,Divorced,High School Diploma,Yes,Own,B+,130/85,75,97%,Colonoscopy,No,Yes,Cats,Yes,Abnormal,,,,,,,,,,,,,,,,,,,,
Jessica Martinez,Australia,789-12-3456,9/10/1982,40000,Female,Married,Associate's Degree,No,Own,AB-,115/75,70,99%,Mammogram,No,No,Dust,No,Normal,,,,,,,,,,,,,,,,,,,,
David Thompson,USA,234-56-7890,6/25/1995,35000,Male,Single,Some College,No,Rent,O-,125/80,68,97%,Dental Cleaning,Yes,Yes,Peanuts,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Sarah Wilson,USA,567-89-0123,11/18/1989,55000,Female,Widowed,Doctorate Degree,Yes,Own,A+,120/80,80,95%,MRI Scan,No,No,Latex,No,Normal,,,,,,,,,,,,,,,,,,,,
Chris Brown,Canada,901-23-4567,4/5/1980,80000,Male,Married,Master's Degree,Yes,Own,B-,130/85,75,98%,Knee Surgery,Yes,No,Pollen,Yes,Abnormal,,,,,,,,,,,,,,,,,,,,
Lisa Anderson,UK,345-67-8901,8/12/1992,45000,Female,Single,Bachelor's Degree,No,Rent,AB+,110/70,70,99%,Physical Therapy,No,Yes,Shellfish,No,Normal,,,,,,,,,,,,,,,,,,,,
Mark Johnson,Australia,678-90-1234,2/28/1987,65000,Male,Married,Bachelor's Degree,Yes,Rent,A-,120/80,72,98%,Cataract Surgery,No,Yes,Dust,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Jennifer Smith,USA,210-43-5678,9/5/1991,55000,Female,Married,High School Diploma,Yes,Own,O+,115/75,68,97%,Cholecystectomy,Yes,Yes,Cats,Yes,Normal,,,,,,,,,,,,,,,,,,,,
John Smith,USA,123-45-6789,7/15/1985,50000,Male,Married,Bachelor's Degree,Yes,Own,O+,120/80,72,98%,Appendectomy,No,No,Pollen,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Emily Johnson,Canada,987-65-4321,12/2/1990,60000,Female,Single,Master's Degree,No,Rent,A-,110/70,68,96%,Laser Eye Surgery,No,Yes,Shellfish,No,Normal,,,,,,,,,,,,,,,,,,,,
Michael Davis,UK,456-78-9123,3/20/1978,75000,Male,Divorced,High School Diploma,Yes,Own,B+,130/85,75,97%,Colonoscopy,No,Yes,Cats,Yes,Abnormal,,,,,,,,,,,,,,,,,,,,
Jessica Martinez,Australia,789-12-3456,9/10/1982,40000,Female,Married,Associate's Degree,No,Own,AB-,115/75,70,99%,Mammogram,No,No,Dust,No,Normal,,,,,,,,,,,,,,,,,,,,
David Thompson,USA,234-56-7890,6/25/1995,35000,Male,Single,Some College,No,Rent,O-,125/80,68,97%,Dental Cleaning,Yes,Yes,Peanuts,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Sarah Wilson,USA,567-89-0123,11/18/1989,55000,Female,Widowed,Doctorate Degree,Yes,Own,A+,120/80,80,95%,MRI Scan,No,No,Latex,No,Normal,,,,,,,,,,,,,,,,,,,,
Chris Brown,Canada,901-23-4567,4/5/1980,80000,Male,Married,Master's Degree,Yes,Own,B-,130/85,75,98%,Knee Surgery,Yes,No,Pollen,Yes,Abnormal,,,,,,,,,,,,,,,,,,,,
Lisa Anderson,UK,345-67-8901,8/12/1992,45000,Female,Single,Bachelor's Degree,No,Rent,AB+,110/70,70,99%,Physical Therapy,No,Yes,Shellfish,No,Normal,,,,,,,,,,,,,,,,,,,,
Mark Johnson,Australia,678-90-1234,2/28/1987,65000,Male,Married,Bachelor's Degree,Yes,Rent,A-,120/80,72,98%,Cataract Surgery,No,Yes,Dust,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Jennifer Smith,USA,210-43-5678,9/5/1991,55000,Female,Married,High School Diploma,Yes,Own,O+,115/75,68,97%,Cholecystectomy,Yes,Yes,Cats,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Alexis Rodriguez,USA,654-32-1098,5/20/1988,45000,Female,Single,Some College,No,Rent,O+,120/80,70,96%,Dental Filling,No,No,Pollen,No,Normal,,,,,,,,,,,,,,,,,,,,
Daniel White,Canada,876-54-3210,11/12/1976,70000,Male,Married,Master's Degree,Yes,Own,B+,130/85,78,98%,Hip Replacement,Yes,Yes,Peanuts,No,Normal,,,,,,,,,,,,,,,,,,,,
Sophia Martin,UK,234-56-7891,3/8/1994,55000,Female,Single,Bachelor's Degree,No,Rent,A-,110/70,65,99%,Colon,,,,,,,,,,,,,,,,,,,,,,,,,
John Smith,USA,123-45-6789,7/15/1985,50000,Male,Married,Bachelor's Degree,Yes,Own,O+,120/80,72,98%,Appendectomy,No,No,Pollen,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Emily Johnson,Canada,987-65-4321,12/2/1990,60000,Female,Single,Master's Degree,No,Rent,A-,110/70,68,96%,Laser Eye Surgery,No,Yes,Shellfish,No,Normal,,,,,,,,,,,,,,,,,,,,
Michael Davis,UK,456-78-9123,3/20/1978,75000,Male,Divorced,High School Diploma,Yes,Own,B+,130/85,75,97%,Colonoscopy,No,Yes,Cats,Yes,Abnormal,,,,,,,,,,,,,,,,,,,,
Jessica Martinez,Australia,789-12-3456,9/10/1982,40000,Female,Married,Associate's Degree,No,Own,AB-,115/75,70,99%,Mammogram,No,No,Dust,No,Normal,,,,,,,,,,,,,,,,,,,,
David Thompson,USA,234-56-7890,6/25/1995,35000,Male,Single,Some College,No,Rent,O-,125/80,68,97%,Dental Cleaning,Yes,Yes,Peanuts,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Sarah Wilson,USA,567-89-0123,11/18/1989,55000,Female,Widowed,Doctorate Degree,Yes,Own,A+,120/80,80,95%,MRI Scan,No,No,Latex,No,Normal,,,,,,,,,,,,,,,,,,,,
Chris Brown,Canada,901-23-4567,4/5/1980,80000,Male,Married,Master's Degree,Yes,Own,B-,130/85,75,98%,Knee Surgery,Yes,No,Pollen,Yes,Abnormal,,,,,,,,,,,,,,,,,,,,
Lisa Anderson,UK,345-67-8901,8/12/1992,45000,Female,Single,Bachelor's Degree,No,Rent,AB+,110/70,70,99%,Physical Therapy,No,Yes,Shellfish,No,Normal,,,,,,,,,,,,,,,,,,,,
Mark Johnson,Australia,678-90-1234,2/28/1987,65000,Male,Married,Bachelor's Degree,Yes,Rent,A-,120/80,72,98%,Cataract Surgery,No,Yes,Dust,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Jennifer Smith,USA,210-43-5678,9/5/1991,55000,Female,Married,High School Diploma,Yes,Own,O+,115/75,68,97%,Cholecystectomy,Yes,Yes,Cats,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Alexis Rodriguez,USA,654-32-1098,5/20/1988,45000,Female,Single,Some College,No,Rent,O+,120/80,70,96%,Dental Filling,No,No,Pollen,No,Normal,,,,,,,,,,,,,,,,,,,,
Daniel White,Canada,876-54-3210,11/12/1976,70000,Male,Married,Master's Degree,Yes,Own,B+,130/85,78,98%,Hip Replacement,Yes,Yes,Peanuts,No,Normal,,,,,,,,,,,,,,,,,,,,
John Smith,USA,123-45-6789,7/15/1985,50000,Male,Married,Bachelor's Degree,Yes,Own,O+,120/80,72,98%,Appendectomy,No,No,Pollen,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Emily Johnson,Canada,987-65-4321,12/2/1990,60000,Female,Single,Master's Degree,No,Rent,A-,110/70,68,96%,Laser Eye Surgery,No,Yes,Shellfish,No,Normal,,,,,,,,,,,,,,,,,,,,
